date,nav,scheme_code,scheme_name,fund_house
09-04-2025,56.57000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
08-04-2025,56.86000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
07-04-2025,55.93000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
04-04-2025,57.70000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
03-04-2025,58.42000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
02-04-2025,58.57000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
01-04-2025,58.08000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
31-03-2025,58.95000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
28-03-2025,58.96000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
27-03-2025,59.22000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
26-03-2025,58.87000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
25-03-2025,59.32000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
24-03-2025,59.44000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
21-03-2025,58.86000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
20-03-2025,58.41000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
19-03-2025,57.79000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
18-03-2025,57.43000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
17-03-2025,56.46000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
13-03-2025,56.11000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
12-03-2025,56.22000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
11-03-2025,56.31000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
10-03-2025,56.11000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
07-03-2025,56.47000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
06-03-2025,56.56000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
05-03-2025,56.16000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
04-03-2025,55.52000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
03-03-2025,55.48000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
28-02-2025,55.32000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
27-02-2025,56.44000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
25-02-2025,56.63000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
24-02-2025,56.62000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
21-02-2025,57.12000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
20-02-2025,57.52000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
19-02-2025,57.48000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
18-02-2025,57.37000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
17-02-2025,57.36000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
14-02-2025,57.40000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
13-02-2025,57.91000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
12-02-2025,57.89000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
11-02-2025,57.93000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
10-02-2025,58.84000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
07-02-2025,59.38000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
06-02-2025,59.36000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
05-02-2025,59.69000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
04-02-2025,59.79000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
03-02-2025,58.93000,113221,Canara Robeco Large Cap Fund,Canara Robeco Mutual Fund
